
 17601,     fukyu @AQUA_RAMEN,        <Channel name: plaqueboymax>,       2024-11-07 11:54:39.822790 
17601,     uhhh,        <Channel name: plaqueboymax>,       2024-11-07 15:59:53.426522 
17601,     uhhh,        <Channel name: plaqueboymax>,       2024-11-07 16:02:41.306009 
17601,     uhhh,        <Channel name: plaqueboymax>,       2024-11-07 16:02:52.410796 
17601,     @glassy,        <Channel name: plaqueboymax>,       2024-11-07 16:03:07.311076 
17601,     uhhh,        <Channel name: plaqueboymax>,       2024-11-07 16:05:11.563020 
17601,     WeGood,        <Channel name: plaqueboymax>,       2024-11-07 16:05:16.862864 
17601,     uhhh,        <Channel name: plaqueboymax>,       2024-11-07 16:07:04.324791 
17601,     @AQUA_RAMEN,        <Channel name: plaqueboymax>,       2024-11-07 16:09:45.429426 
17601,     uhhh,        <Channel name: plaqueboymax>,       2024-11-07 16:09:51.486409 
17601,     @AQUA_RAMEN,        <Channel name: plaqueboymax>,       2024-11-07 16:10:06.812586 
17601,     uhhh,        <Channel name: plaqueboymax>,       2024-11-07 16:12:26.410526 
17601,     JUDGE,        <Channel name: plaqueboymax>,       2024-11-07 16:12:41.719833 
17601,     uhhh,        <Channel name: plaqueboymax>,       2024-11-07 16:12:43.345023 
17601,     BoySlowDown,        <Channel name: plaqueboymax>,       2024-11-07 16:13:05.440833 
17601,     uhhh,        <Channel name: plaqueboymax>,       2024-11-07 16:14:12.280884 
17601,     @AQUA_RAMEN,        <Channel name: plaqueboymax>,       2024-11-07 16:15:51.459076 
17601,     uhhh,        <Channel name: plaqueboymax>,       2024-11-07 16:15:52.954243 
17601,     uhhh,        <Channel name: plaqueboymax>,       2024-11-07 16:20:01.636177 
17601,     @AQUA_RAMEN,        <Channel name: plaqueboymax>,       2024-11-07 16:25:32.508376 
17601,     @AQUA_RAMEN,        <Channel name: plaqueboymax>,       2024-11-07 16:26:16.181053 
